L;Transfer_cnt;English transcription;Russian Cyrillic;Transfer;Opened;Type
14;3;Kutuzovskaya;Кутузовская;{}<>;10.09.2016;surface
14;1;Delovoy Tsentr;Деловой центр;{};10.09.2016;elevated
14;1;Shelepikha;Шелепиха;{};10.09.2016;surface
14;2;Khoroshyovo;Хорошёво;< >;10.09.2016;surface
14;;Zorge;Зорге;;04.11.2016;surface
14;1;Panfilovskaya;Панфиловская;<>;08.11.2016;surface
14;;Streshnevo;Стрешнево;;10.09.2016;surface
14;1;Baltiyskaya;Балтийская;<>;10.09.2016;surface
14;;Koptevo;Коптево;;01.11.2016;surface
14;;Likhobory;Лихоборы;;10.09.2016;surface
15;1;Elektrozavodskaya;Электрозаводская;<>;31.12.2020;column, triple-span
15;;Lefortovo;Лефортово;;27.03.2020;column, double-span
15;1;Aviamotornaya;Авиамоторная;<>;27.03.2020;column, triple-span
15;1;Nizhegorodskaya;Нижегородская;{};27.03.2020;column, triple-span
15;;Stakhanovskaya;Стахановская;;27.03.2020;column, triple-span
15;;Okskaya;Окская;;27.03.2020;column, triple-span
15;;Yugo-Vostochnaya;Юго-Восточная;;27.03.2020;column, triple-span
15;1;Kosino;Косино;;03.06.2019;column, triple-span
15;;Ulitsa Dmitriyevskogo;Улица Дмитриевского;;03.06.2019;column, double-span
15;;Lukhmanovskaya;Лухмановская;;03.06.2019;column, triple-span
15;;Nekrasovka;Некрасовка;;03.06.2019;column, double-span
